Player,Jersey_Num,Class,Position,Height,Weight,Hometown,High_School,Summary,Team,Year
Zeke Marshall,44,SR,C,7-0,235,McKeesport PA,McKeesport,13.0 Pts 7.0 Reb 0.8 Ast,Akron,2013
Demetrius Treadwell,1,JR,F,6-7,236,Euclid OH,Euclid,11.5 Pts 7.9 Reb 1.6 Ast,Akron,2013
Alex Abreu,11,JR,G,5-11,175,,Each One Teach One Academy (NJ),10.3 Pts 2.5 Reb 6.0 Ast,Akron,2013
Nick Harney,10,JR,F,6-8,210,Cleveland OH,Benedictine,9.5 Pts 3.8 Reb 1.2 Ast,Akron,2013
Brian Walsh,2,SR,G,6-5,200,Coraopolis PA,Moon,7.2 Pts 3.5 Reb 1.6 Ast,Akron,2013
Jake Kretzer,15,FR,F,6-7,216,Bainbridge OH,Waverly HS,5.7 Pts 3.2 Reb 1.0 Ast,Akron,2013
Chauncey Gilliam,23,SR,F,6-5,230,Columbia MD,Brewster Academy (NH),5.6 Pts 1.7 Reb 0.7 Ast,Akron,2013
Reggie McAdams,21,FR,F,6-7,208,Elida OH,Elida HS,4.6 Pts 1.3 Reb 0.4 Ast,Akron,2013
Pat Forsythe,34,FR,C,6-11,245,Brunswick OH,Brunswick,3.4 Pts 2.7 Reb 0.3 Ast,Akron,2013
Adedeji Ibitayo,4,SO,G,6-4,200,Chicago IL,Rich Central,3.0 Pts 1.8 Reb 0.7 Ast,Akron,2013
Carmelo Betancourt,12,FR,G,5-11,182,,Montrose Christian (MD),2.0 Pts 0.9 Reb 1.6 Ast,Akron,2013
Jonas Stalyga,5,SO,F,6-8,220,,Grand Island,2.8 Pts 0.4 Reb 0.0 Ast,Akron,2013
Darius Hoisten,30,FR,G,6-5,180,Akron OH,Garfield Heights,0.4 Pts 0.8 Reb 0.0 Ast,Akron,2013
Blake Justice,14,FR,G,6-3,195,Peebles OH,Peebles,0.3 Pts 0.3 Reb 0.3 Ast,Akron,2013
Luke Avsec,3,JR,G,5-10,180,Cleveland OH,Trinity,0.0 Pts 0.3 Reb 0.3 Ast,Akron,2013
Mike Black,10,SR,G,6-0,180,Chicago IL,Oak Park Fenwick,14.8 Pts 3.2 Reb 2.4 Ast,Albany,2013
Jacob Iati,0,SR,G,5-10,165,York PA,York Catholic,12.2 Pts 2.1 Reb 1.7 Ast,Albany,2013
Sam Rowley,14,SO,F,6-6,230,,Knox Grammar School,9.0 Pts 6.2 Reb 1.1 Ast,Albany,2013
Peter Hooley,12,FR,G,6-4,200,Adelaide Australia,Concordia College,8.0 Pts 3.4 Reb 3.1 Ast,Albany,2013
John Puk,44,JR,C,6-10,235,Waterloo IA,Waterloo West,5.3 Pts 4.4 Reb 0.5 Ast,Albany,2013
Blake Metcalf,21,SR,C,6-9,235,Camby IN,Plainfield,3.7 Pts 3.9 Reb 0.9 Ast,Albany,2013
Jayson Guerrier,30,SR,G,6-4,210,Winter Springs FL,,3.7 Pts 1.6 Reb 0.5 Ast,Albany,2013
Luke Devlin,11,JR,F,6-8,235,,Newington College,3.4 Pts 2.2 Reb 0.4 Ast,Albany,2013
DJ Evans,3,JR,G,5-9,175,Brandon MS,East Mississippi,2.4 Pts 0.8 Reb 0.5 Ast,Albany,2013
Gary Johnson,20,JR,F,6-6,205,Moreno Valley CA,Oxnard,3.3 Pts 2.3 Reb 0.5 Ast,Albany,2013
Chris Page,24,FR,G,6-5,190,Plainfield IN,Plainfield,1.4 Pts 0.1 Reb 0.2 Ast,Albany,2013
Dave Wiegmann,22,JR,F,6-8,215,Breese IL,Southwestern Illinois,0.4 Pts 0.5 Reb 0.1 Ast,Albany,2013
Reece Williams,2,FR,G,6-1,200,White Plains NY,Woodlands HS,0.5 Pts 0.3 Reb 0.0 Ast,Albany,2013
Mark Lyons,2,SR,G,6-1,200,Schenectady NY,Brewster Academy (NH),15.6 Pts 1.9 Reb 2.8 Ast,Arizona,2013
Solomon Hill,44,SR,F,6-7,220,Los Angeles CA,Fairfax,13.4 Pts 5.3 Reb 2.7 Ast,Arizona,2013
Nick Johnson,13,SO,G,6-3,200,Gilbert AZ,Findlay Prep,11.5 Pts 3.6 Reb 3.2 Ast,Arizona,2013
Kevin Parrom,3,SR,G,6-6,220,Bronx NY,South Kent (CT),8.3 Pts 4.9 Reb 1.9 Ast,Arizona,2013
Brandon Ashley,21,FR,F,6-8,230,San Francisco CA,Findlay Prep,7.5 Pts 5.3 Reb 0.7 Ast,Arizona,2013
Kaleb Tarczewski,35,FR,C,7-0,235,Claremont NH,St. Mark's School,6.6 Pts 6.1 Reb 0.4 Ast,Arizona,2013
Grant Jerrett,33,FR,F,6-10,235,Chino Hills CA,Lutheran,5.2 Pts 3.6 Reb 0.5 Ast,Arizona,2013
Jordin Mayes,20,JR,G,6-3,190,Los Angeles CA,Westchester,2.8 Pts 0.8 Reb 0.9 Ast,Arizona,2013
Angelo Chol,30,SO,F,6-9,220,San Diego CA,Hoover,1.9 Pts 2.0 Reb 0.1 Ast,Arizona,2013
Gabe York,1,FR,G,6-3,180,West Covina CA,Orange Lutheran HS,2.4 Pts 0.3 Reb 0.6 Ast,Arizona,2013
Max Wiepking,52,SR,F,6-6,220,Englewood CO,Kent Denver School,1.1 Pts 0.4 Reb 0.0 Ast,Arizona,2013
Quinton Crawford,51,SR,G,6-2,200,Old Bridge NJ,Old Bridge,0.0 Pts 0.6 Reb 0.1 Ast,Arizona,2013
Jacob Hazzard,50,FR,G,6-0,160,Los Angeles CA,Loyola HS,0.0 Pts 0.2 Reb 0.2 Ast,Arizona,2013
Drew Mellon,55,SO,F,6-6,205,Santa Ana CA,Mater Dei,0.0 Pts 0.0 Reb 0.0 Ast,Arizona,2013
Ian Clark,21,SR,G,6-3,175,Memphis TN,Germantown,18.2 Pts 3.3 Reb 2.4 Ast,Belmont,2013
Kerron Johnson,3,SR,G,6-1,175,Huntsville AL,Madison Academy,14.0 Pts 3.2 Reb 4.8 Ast,Belmont,2013
Trevor Noack,30,SR,F,6-7,240,Keller TX,Keller Central,12.1 Pts 5.5 Reb 0.6 Ast,Belmont,2013
J.J. Mann,14,JR,G,6-6,215,Smyrna GA,Hargrave Military Academy,10.5 Pts 4.7 Reb 2.5 Ast,Belmont,2013
Blake Jenkins,2,JR,F,6-8,220,Knoxville TN,Bearden,9.6 Pts 4.6 Reb 1.1 Ast,Belmont,2013
Reece Chamberlain,22,SO,G,6-1,190,Goodlettsville TN,Beech,3.6 Pts 1.6 Reb 2.2 Ast,Belmont,2013
Brandon Baker,45,SR,F,6-6,220,Milford OH,Milford,3.3 Pts 2.9 Reb 0.7 Ast,Belmont,2013
Craig Bradshaw,23,FR,G,6-3,210,Ridgetop TN,Christ Presbyterian Academy,2.2 Pts 1.3 Reb 0.6 Ast,Belmont,2013
Adam Barnes,24,SR,G,6-2,190,Clarksville TN,Clarksville,1.0 Pts 0.7 Reb 0.4 Ast,Belmont,2013
Jeff Laidig,1,FR,G,6-4,210,Mishawaka IN,Penn HS,0.9 Pts 0.5 Reb 0.3 Ast,Belmont,2013
Chad Lang,0,SO,C,6-11,310,Marietta GA,Marietta,1.1 Pts 1.0 Reb 0.0 Ast,Belmont,2013
Spencer Turner,11,SO,G,6-3,190,Bloomington IN,Bloomington South,1.3 Pts 0.4 Reb 0.1 Ast,Belmont,2013
Holden Mobley,4,SO,G,6-3,205,Nashville TN,Montgomery Bell Academy,0.8 Pts 0.8 Reb 0.4 Ast,Belmont,2013
Mike Muscala,31,SR,F,6-11,234,Roseville MN,Roseville,18.7 Pts 11.1 Reb 2.3 Ast,Bucknell,2013
Cameron Ayers,42,JR,G,6-5,205,Blue Bell PA,Germantown Academy,12.4 Pts 4.0 Reb 2.0 Ast,Bucknell,2013
Bryson Johnson,12,SR,G,6-2,194,,St David Catholic,11.1 Pts 2.7 Reb 2.3 Ast,Bucknell,2013
Joe Willman,15,SR,F,6-7,217,Tinton Falls NJ,Monmouth Regional,10.6 Pts 5.9 Reb 1.5 Ast,Bucknell,2013
