"","TEAM","CONF","G","RECORD","W","L","WINPCT","ADJOE","ADJDE","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","YEAR"
"1","Akron","MAC",32,"25 - 7",25,7,0.781,103.4,94.4,51,44.6,20.8,20.2,37.6,30.5,36.9,35,52.1,42.7,32.7,32.8,66.5,0.3,"First Round",12,2013
"2","Albany","AE",35,"24 - 11",24,11,0.686,101.2,98.7,49.6,48.3,21.2,19.9,31.7,28.2,40,27.8,46.7,47.6,37,33.1,63.2,-4.5,"First Round",15,2013
"3","Arizona","P12",35,"27 - 8",27,8,0.771,114.4,92.2,52.5,46.6,19.5,19.8,35,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,"Sweet Sixteen",6,2013
"4","Belmont","OVC",31,"24 - 7",24,7,0.774,108.9,96.2,56.5,48,19.6,25,29.7,34.2,32.8,37,56.9,46.7,37.2,33.5,67.4,0.1,"First Round",11,2013
"5","Boise St.","MWC",30,"19 - 11",19,11,0.633,112,97.4,51.8,51.4,18.4,20,30.3,24.4,33.7,42.2,48.4,51,38.7,34.8,66.2,-0.2,"First Four",13,2013
"6","Bucknell","Pat",33,"27 - 6",27,6,0.818,104.7,93.1,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,63.4,1,"First Round",11,2013
"7","Butler","A10",35,"26 - 9",26,9,0.743,109.2,93,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,4.7,"Second Round",6,2013
"8","California","P12",33,"21 - 12",21,12,0.636,105.4,92.3,48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,66.5,0.5,"Second Round",12,2013
"9","Cincinnati","BE",34,"22 - 12",22,12,0.647,104.5,88.3,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,65.5,1.7,"First Round",10,2013
"10","Colorado","P12",33,"21 - 12",21,12,0.636,104.9,90.2,48.3,45.9,20,19.4,33.6,30.4,40.9,25.3,47,44.7,34.4,32,65.5,1.4,"First Round",10,2013
"11","Colorado St.","MWC",33,"24 - 9",24,9,0.727,116.6,98.4,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,64.8,1.9,"Second Round",8,2013
"12","Creighton","MVC",36,"28 - 8",28,8,0.778,116.4,95,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,3.5,"Second Round",7,2013
